[1] 200- [01] Thugst3r     please die :~           73,541 1,445,89MB    634K/s
[1] 200- [02] bust3r       master                  31,207  858,156MB    256K/s
[1] 200- [03] oracle       ....                    36,203  782,922MB    495K/s
[1] 200- [04] thapaulio    Roll a perfect blunt,   28,617  614,876MB    519K/s
[1] 200- [05] f1freak      ddA                      9,608  428,036MB    407K/s
[1] 200- [06] Wraith       -=[EDC]=-               17,599  412,612MB    652K/s
[1] 200- [07] john         whatever                24,533  386,799MB    264K/s
[1] 200- [08] buster       blub                    28,039  383,314MB    191K/s
[1] 200- [09] Smuk         Beffen, daar heb ik zi  17,536  377,493MB    536K/s
[1] 200- [10] A-plus       ALAAAAAAAAAF            10,452  360,664MB    649K/s
[1] 200- [11] The_extra    doe mij maar een bavar  10,014  341,901MB    269K/s
[1] 200- [12] XviD         ddA                      7,809  337,298MB    421K/s
[1] 200- [13] ricoslovaco  rico                    17,579  304,284MB    322K/s
[1] 200- [14] YRZ          -=eNRAGE=-              16,263  296,375MB   1337K/s
[1] 200- [15] Gingga       Boo                     16,268  295,791MB   1789K/s
[1] 200- [16] Wird0        aaah                    14,575  295,133MB    295K/s
[1] 200- [17] Kehpri       PhArAcYdE               14,954  278,077MB   1005K/s
[1] 200- [18] orjan        ddA                     17,445  266,958MB     61K/s
[1] 200- [19] GrimL0ck     cunt                    19,515  266,892MB    636K/s
[1] 200- [20] Bomb         >> FREQuency <<         16,155  266,545MB   1446K/s
[1] 200- [21] pav0         lets.pimp               14,188  265,479MB   1346K/s
[1] 200- [22] drunken      dont race me            16,117  240,329MB    897K/s
[1] 200- [23] allan        DiViNiTY                14,739  236,879MB    715K/s
[1] 200- [24] Pyro         bling bling             10,172  236,108MB    908K/s
[1] 200- [25] joske        go                       8,919  234,313MB   1558K/s
[1] 200- [26] stig         stiggieboy              10,461  229,548MB     41K/s
[1] 200- [27] bface        DEVOTED                 12,240  229,511MB   1100K/s
[1] 200- [28] Krysk        YknoTT                  13,743  224,869MB     81K/s
[1] 200- [29] pwise        hmm..empty..            10,845  207,191MB   1262K/s
[1] 200- [30] ekstream     Bla                      4,957  206,280MB   5585K/s
[1] 200- [31] wookie       Forced Taglines are GA   9,707  204,882MB   1498K/s
[1] 200- [32] tek          i'm with stupid         10,459  203,959MB    334K/s
[1] 200- [33] konijntje    wh00tu                  37,433  203,157MB    457K/s
[1] 200- [34] D4Fi3ts      Speed Does Matter        7,722  194,752MB    639K/s
[1] 200- [35] Wappie       .                        7,650  194,623MB    691K/s
[1] 200- [36] platinum     .                       10,645  190,836MB   1315K/s
[1] 200- [37] quik         tuu tuu jedi master in   7,610  188,971MB   1519K/s
[1] 200- [38] S4X0         -= FD =-                 9,841  178,127MB    716K/s
[1] 200- [39] hades        God of the Underworld,   7,185  176,074MB    254K/s
[1] 200- [40] neon         YknoTT                  10,980  174,313MB    375K/s
[1] 200- [41] daddy        SPiRO                    5,770  172,794MB   1179K/s
[1] 200- [42] Revan        ownage                  12,216  163,757MB    458K/s
[1] 200- [43] Mike         DiViNiTY                 8,594  163,025MB    774K/s
[1] 200- [44] wowie        wowie                    6,666  148,613MB    789K/s
[1] 200- [45] cyriel       beter een gat in je cu   5,763  138,399MB    100K/s
[1] 200- [46] Os1rIs       |-=[EDC]=-|              8,122  138,176MB    468K/s
[1] 200- [47] Qutiz        ..::GWT::..              7,877  136,763MB    892K/s
[1] 200- [48] ARE-T        [-EDC-]                  7,629  128,465MB    363K/s
[1] 200- [49] bvam         XXLISO                   5,458  128,234MB    799K/s
[1] 200- [50] Guardian     shao hoer                6,218  127,310MB    269K/s
[1] 200- [51] raz0r        mkdir not war            5,343  124,223MB   1590K/s
[1] 200- [52] chratnox     router died, redoing n   5,613  120,084MB    472K/s
[1] 200- [53] dark         dark                     4,307  111,247MB    107K/s
[1] 200- [54] zzzzz        crip                     8,484  105,342MB    495K/s
[1] 200- [55] levi         crikey                   6,679   97,396MB     39K/s
[1] 200- [56] sn34k        jahoor                   4,407   96,135MB    482K/s
[1] 200- [57] acidbr       .::FREQ::.               5,590   95,490MB   1508K/s
[1] 200- [58] razor        wh00tu                   3,062   94,785MB    139K/s
[1] 200- [59] elsauter     yknott                   4,095   86,706MB    348K/s
[1] 200- [60] JRippey      --:: GwT ::--            4,721   78,705MB    334K/s
[1] 200- [61] Doopy        how nice, no site full   4,240   73,991MB    906K/s
[1] 200- [62] silcs        messican video zone      2,819   72,689MB    435K/s
[1] 200- [63] eLDiablo     fuck da frog             4,484   70,223MB   1251K/s
